Fidelity,Phi,Susceptibility
0.5886287625418061,0.027066965489664547,0.1353383754343251
0.5911371237458194,0.027408571822780704,0.13704645187826822
0.5936454849498327,0.027754489495742815,0.13877608558658427
0.5961538461538461,0.02810477292104116,0.14052754862885555
0.5986622073578596,0.028459477197894264,0.14230111650838415
0.6011705685618729,0.028818658120915996,0.1440970682055649
0.6036789297658862,0.02918237218889208,0.1459156862217376
0.6061872909698997,0.029550676613667188,0.14775725662361447
0.6086956521739131,0.029923629329144327,0.1496220690883025
0.6112040133779264,0.030301289000397802,0.15151041694887146
0.6137123745819398,0.030683715032901206,0.15342259724047516
0.6162207357859533,0.031070967581871757,0.15535891074708041
0.6187290969899666,0.03146310756173271,0.1573196620487884
0.6212374581939799,0.03186019665569511,0.1593051595697461
0.6237458193979933,0.032262297325460536,0.16131571562665104
0.6262541806020068,0.0326694728210462,0.16335164647786185
0.6287625418060201,0.03308178719073409,0.16541327237319825
0.6312709030100334,0.03349930529114586,0.16750091760427943
0.6337792642140468,0.03392209279744452,0.16961491055551262
0.6362876254180603,0.03435021621366515,0.17175558375579245
0.6387959866220736,0.03478374288317592,0.17392327393078988
0.6413043478260869,0.03522274099927112,0.17611832205592262
0.6438127090301003,0.03566727961589794,0.1783410734099759
0.6463210702341138,0.03611742865851849,0.1805918776294106
0.6488294314381271,0.03657325893510903,0.18287108876340158
0.6513377926421404,0.037034842147298096,0.18517906532950276
0.6538461538461539,0.037502250901644996,0.18751617037001334
0.6563545150501673,0.037975558721060704,0.18988277150911717
0.6588628762541806,0.03845484005637301,0.19227924101072352
0.6613712374581939,0.03894017029803758,0.19470595583700345
0.6638795986622074,0.03943162578799677,0.19716329770766342
0.6663879598662208,0.03992928383168806,0.19965165316001846
0.6688963210702341,0.04043322271020422,0.2021714136097996
0.6714046822742474,0.04094352169260679,0.20472297541271398
0.6739130434782609,0.04146026104839509,0.20730673992677656
0.6764214046822743,0.04198352206013242,0.20992311357544274
0.6789297658862876,0.04251338703623176,0.2125725079115779
0.6814381270903009,0.04304993932390288,0.21525533968216662
0.6839464882943144,0.043593263322262696,0.2179720308938467
0.6864548494983278,0.04414344449561114,0.22072300887931276
0.6889632107023411,0.04470056938687463,0.2235087063645528
0.6914715719063546,0.04526472563121926,0.22632956153688405
0.693979933110368,0.04583600196983559,0.22918601811387962
0.6964882943143813,0.04641448826389759,0.23207852541319834
0.6989966555183946,0.047000275508697786,0.23500753842323774
0.7015050167224081,0.04759345584796065,0.2379735178746912
0.7040133779264215,0.048194122588336705,0.24097693031303236
0.7065217391304348,0.04880237021407954,0.2440182481719229
0.7090301003344481,0.049418294401908223,0.24709794984751027
0.7115384615384616,0.05004199203605702,0.2502165197736544
