Hop,Pure_Willow,Pure_Helios,Willow_to_Helios_at_25,Willow_to_Helios_at_50,Alternating,Phi_No_QEC,Phi_Basic,Phi_Advanced,Phi_Willow
23,0.9977231953893382,0.8911977907253089,0.9976908364589,0.9977109403470432,0.9356844497563078,0.07559064243913367,1.0,1.0,1.0
24,0.9976231651385072,0.886822813025651,0.9975931759144948,0.9976127425109232,0.9355934691126269,0.07303192023339598,1.0,1.0,1.0
25,0.9975202816966243,0.8825175980993528,0.9974948805692276,0.9975112565214294,0.9354968007030405,0.07055095260636778,1.0,1.0,1.0
26,0.9974175988642183,0.8781679245092501,0.977544982957843,0.9974117223341699,0.9354026940288843,0.06825781856392402,1.0,1.0,1.0
27,0.9973172861671968,0.8736823857158424,0.9725323096297918,0.9973090865707349,0.9353069407837349,0.0658882961995088,1.0,1.0,1.0
28,0.9972170103359714,0.8694265353457654,0.9678953105994528,0.9972115275728978,0.9352160585283108,0.06336740112689201,1.0,1.0,1.0
29,0.9971146004953129,0.865020603547608,0.9631354268977684,0.9971108676969954,0.9351242687589244,0.06097073998662076,1.0,1.0,1.0
30,0.997016494667718,0.8607158480706563,0.9584782575576157,0.9970142274994462,0.9350285224642646,0.058743415254687584,1.0,1.0,1.0
31,0.9969164680764568,0.85652195027069,0.9535886531997927,0.99690837733351,0.9256782372396225,0.05706478767333878,1.0,1.0,1.0
32,0.9968190070474732,0.8522407186821863,0.9488087062518146,0.9968133082269104,0.9212018565766461,0.05518998450700907,1.0,1.0,1.0
33,0.9967219052912436,0.8481127021001835,0.9437507039120477,0.996714915898585,0.9165838154985462,0.053492158139291826,1.0,1.0,1.0
34,0.9966210570266614,0.8438207510149782,0.9389603976698108,0.9966100517709958,0.9118903670928135,0.05161011296559426,1.0,1.0,1.0
35,0.996520487315642,0.8395900976895043,0.934153739824044,0.9965070740911725,0.9074628388600721,0.05006628331543252,1.0,1.0,1.0
36,0.9964225952652148,0.8354041980243476,0.929639770290567,0.9964099116332261,0.9027791186814095,0.048802611428672274,1.0,1.0,1.0
37,0.9963206919856501,0.8312537885753704,0.9251631847533017,0.9963087492468653,0.8983509247009059,0.047621572847920846,1.0,1.0,1.0
38,0.9962192657268762,0.827062413202567,0.920547347980093,0.9962080112892422,0.8938753829907811,0.045736362564468364,0.993310961716756,1.0,1.0
39,0.9961227599133613,0.8232452520837201,0.9160456382348359,0.9961089586808326,0.8893124913124629,0.04415344234978628,0.993310961716756,1.0,1.0
40,0.996020768681443,0.8192509380793259,0.9117007185698491,0.9960058260967726,0.8848661084747047,0.04250987273759398,0.993310961716756,1.0,1.0
41,0.995915094101847,0.8153007871355501,0.9072653921193733,0.9959012280532811,0.8760174473899586,0.04100477792106666,0.993310961716756,1.0,1.0
42,0.9958148241138969,0.8113140085133793,0.9026718475062206,0.9958024623787338,0.8759290214483042,0.03954952513399282,0.993310961716756,1.0,1.0
43,0.9957112904409011,0.8072133275428633,0.898421462170861,0.9957031435144829,0.8758425559881173,0.03795110820285601,0.993310961716756,1.0,1.0
44,0.9956104844467035,0.8033039628369296,0.8940508771098469,0.9956033304484675,0.8757542473333062,0.036916997075302736,0.993310961716756,1.0,1.0
45,0.9955094705546341,0.7994559486779991,0.8897114367387629,0.9955025701131364,0.8756665614681957,0.03561603533337176,0.993310961716756,1.0,1.0
46,0.995412522705583,0.795481260752723,0.8852236497689803,0.9953994173979933,0.8755819921563017,0.03475243655106703,0.993310961716756,1.0,1.0
47,0.9953146335427604,0.7915318055153531,0.8808132353685029,0.9953026743086735,0.8754916593685818,0.03386401792685318,0.993310961716756,1.0,1.0
48,0.9952154735989239,0.787616276625793,0.8764662217220823,0.995204791290365,0.875402897790378,0.032994051169917694,0.993310961716756,1.0,1.0
49,0.9951173115501972,0.7837683659771684,0.8718849891711319,0.9951039153454828,0.8753150201986015,0.03198450601230823,0.993310961716756,1.0,1.0
50,0.995015851525376,0.7798749152564814,0.8675847914434156,0.9950025634011674,0.875227186829189,0.030836910306900656,0.993310961716756,1.0,1.0
51,0.9949121102375398,0.7759003801363226,0.863282794258608,0.9751025121331449,0.8664749149608952,0.02999355660816493,0.993310961716756,1.0,1.0
52,0.9948122602756138,0.7721470248263441,0.8588226264567437,0.9701635188905113,0.8622281655301643,0.02942020847421874,0.993310961716756,1.0,1.0
53,0.9947125293762905,0.7685032120622663,0.8547315661234135,0.9654610377087974,0.8578308898073547,0.028458400792519746,0.993310961716756,1.0,1.0
54,0.9946149988082446,0.7644589430912013,0.8504807598141962,0.9606657259102795,0.853607324240108,0.027531929402209717,0.993310961716756,1.0,1.0
55,0.9945188904862919,0.7605141362210424,0.8462404734828827,0.9560672405974269,0.8493322806043373,0.026679472943335298,0.993310961716756,1.0,1.0
56,0.9944184393788876,0.7568464863527361,0.8421572463591787,0.9514779062459051,0.8450121101728475,0.025961979324328324,0.993310961716756,1.0,1.0
57,0.9943188436965391,0.7531323179864563,0.8378865452211405,0.9468189028347727,0.8407908416076274,0.025279066928898336,0.993310961716756,1.0,1.0
58,0.9942202955762306,0.7493859496619478,0.8334593618841053,0.9422038539922376,0.8364023649713254,0.024499202878082237,0.993310961716756,1.0,1.0
59,0.9941216893564894,0.7455957216204699,0.8292170147789887,0.9375507526336883,0.8320971597603779,0.02362753701706602,0.993310961716756,1.0,1.0
60,0.9940259938183112,0.7419460041624885,0.8250575972186186,0.9329129646660635,0.8279312249313908,0.022909384553253156,0.993310961716756,1.0,1.0
61,0.9939269386876539,0.7383492120285177,0.8208788144942851,0.9284552429214982,0.8196519126820766,0.022307524486113603,0.993310961716756,1.0,1.0
62,0.9938271503020306,0.7347382945013111,0.8167975384998793,0.9239904133270221,0.8195694553888194,0.021618898393938102,0.993310961716756,1.0,1.0
